KEY;VALUE
INBOUND;Inbound
MAIL;E-mail
CASE;Cas
FAILED_ONLY;Envoyer uniquement {{DISAGRE}}
ALL;Envoyer tous les sujets
FROM;de
TO;à
BY;par
OF;sur
HELLO;Bonjour,
OVERALL_SCORE;Score total
CRITICAL_MISTAKES;Erreur(s) critique(s)
CRITICAL_ICON;"&#x02A3B;"
LEGEND;"<span class=""critical"">&#x02A3B;</span> &#61; Sujet critique"
SUBMIT;ENVOYER
